eeacellcode	specieskey	species	datasetkey	countrycode	basisofrecord	COUNT(*)
10kmE380N313	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	BE	HUMAN_OBSERVATION	19
10kmE393N318	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	3
10kmE276N224	3048831	Cakile maritima	834a4794-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1
10kmE396N325	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	1
10kmE401N334	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	2
10kmE405N337	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE265N176	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	PT	HUMAN_OBSERVATION	4
10kmE399N336	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	3
10kmE276N223	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
	3048831	Cakile maritima	4cf3eec1-b902-40c9-b15b-05c5fe5928b6	PT	HUMAN_OBSERVATION	4
10kmE265N200	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	1
10kmE391N315	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	6
10kmE401N338	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE382N315	3048831	Cakile maritima	bfc6fe18-77c7-4ede-a555-9207d60d1d86	BE	HUMAN_OBSERVATION	65
10kmE394N326	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	14
10kmE403N334	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	1
10kmE272N209	3048831	Cakile maritima	2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	PT	HUMAN_OBSERVATION	1
10kmE276N174	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	10
10kmE389N317	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	1
10kmE397N333	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	6
10kmE263N175	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
10kmE275N216	3048831	Cakile maritima	2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	PT	HUMAN_OBSERVATION	1
10kmE401N336	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	5
10kmE266N182	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
10kmE267N193	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1
10kmE268N187	3048831	Cakile maritima	4cf3eec1-b902-40c9-b15b-05c5fe5928b6	PT	HUMAN_OBSERVATION	2
